Competition,Sex,Event,Year,Venue,Round,Heat,Wind,Sprinter,FinishTime,ReactionTime,Result
Worlds,Womens,60m,2014,Sopot,1,1,NA,Asha PHILIP,7.18,0.154,Qualified
Worlds,Womens,60m,2014,Sopot,1,1,NA,Dafne SCHIPPERS,7.19,0.149,Qualified
Worlds,Womens,60m,2014,Sopot,1,1,NA,Natalia POHREBNIAK,7.3,0.168,Qualified
Worlds,Womens,60m,2014,Sopot,1,1,NA, Sheniqua FERGUSON,7.31,0.165,FastestQualifier
Worlds,Womens,60m,2014,Sopot,1,1,NA,Olga SAFRONOVA,7.35,0.166,Eliminated
Worlds,Womens,60m,2014,Sopot,1,1,NA,Estefania SEBASTIAN,7.83,0.256,Eliminated
Worlds,Womens,60m,2014,Sopot,1,1,NA,Lovelite DETENAMO,7.94,0.203,Eliminated
Worlds,Womens,60m,2014,Sopot,1,2,NA,Shelly-Ann FRASER-PRYCE,7.12,0.203,Qualified
Worlds,Womens,60m,2014,Sopot,1,2,NA,Tahesia HARRIGAN-SCOTT,7.2,0.142,Qualified
Worlds,Womens,60m,2014,Sopot,1,2,NA,Yasmin KWADWO,7.27,0.123,Qualified
Worlds,Womens,60m,2014,Sopot,1,2,NA,Yongli WEI,7.32,0.16,FastestQualifier
Worlds,Womens,60m,2014,Sopot,1,2,NA,Hanna-Maari LATVALA,7.33,0.142,FastestQualifier
Worlds,Womens,60m,2014,Sopot,1,2,NA,Yee Pui FONG,7.58,0.271,Eliminated
Worlds,Womens,60m,2014,Sopot,1,2,NA,Rachel ABRAMS,8.3,0.194,Eliminated
Worlds,Womens,60m,2014,Sopot,1,3,NA,Verena SAILER,7.13,0.147,Qualified
Worlds,Womens,60m,2014,Sopot,1,3,NA,Michelle-Lee AHYE,7.14,0.152,Qualified
Worlds,Womens,60m,2014,Sopot,1,3,NA, Carina HORN,7.36,0.217,Qualified
Worlds,Womens,60m,2014,Sopot,1,3,NA,Mar’a GçTOU,7.38,0.139,Eliminated
Worlds,Womens,60m,2014,Sopot,1,3,NA,LaVerne JONES-FERRETTE,7.39,0.141,Eliminated
Worlds,Womens,60m,2014,Sopot,1,3,NA,Tiffany TSHILUMBA,7.47,0.183,Eliminated
Worlds,Womens,60m,2014,Sopot,1,3,NA,Joanne Pricilla LOUTOY,7.75,0.211,Eliminated
Worlds,Womens,60m,2014,Sopot,1,3,NA,Rachel FITZ,7.86,0.177,Eliminated
Worlds,Womens,60m,2014,Sopot,1,4,NA,Tianna BARTOLETTA,7.13,0.175,Qualified
Worlds,Womens,60m,2014,Sopot,1,4,NA,Ezinne OKPARAEBO,7.19,0.17,Qualified
Worlds,Womens,60m,2014,Sopot,1,4,NA,Veronica CAMPBELL-BROWN,7.22,0.19,Qualified
Worlds,Womens,60m,2014,Sopot,1,4,NA,Marta JESCHKE,7.33,0.266,FastestQualifier
Worlds,Womens,60m,2014,Sopot,1,4,NA,Jamile SAMUEL,7.34,0.141,FastestQualifier
Worlds,Womens,60m,2014,Sopot,1,4,NA,Flings OWUSU-AGYAPONG,7.42,0.153,Eliminated
Worlds,Womens,60m,2014,Sopot,1,4,NA,Shinelle PROCTOR,7.91,0.251,Eliminated
Worlds,Womens,60m,2014,Sopot,1,5,NA,Gloria ASUMNU,7.19,0.183,Qualified
Worlds,Womens,60m,2014,Sopot,1,5,NA,LaKeisha LAWSON,7.19,0.177,Qualified
Worlds,Womens,60m,2014,Sopot,1,5,NA,Ruddy ZANG MILAMA,7.19,0.184,Qualified
Worlds,Womens,60m,2014,Sopot,1,5,NA,Ramona PAPAIOANNOU,7.43,0.208,Eliminated
Worlds,Womens,60m,2014,Sopot,1,5,NA,Geronne BLACK,7.45,0.161,Eliminated
Worlds,Womens,60m,2014,Sopot,1,5,NA,Patricia TAEA,7.93,0.211,Eliminated
Worlds,Womens,60m,2014,Sopot,1,5,NA,Martina PRETELLI,7.94,0.233,Eliminated
Worlds,Womens,60m,2014,Sopot,1,6,NA,Murielle AHOURƒ,7.09,0.156,Qualified
Worlds,Womens,60m,2014,Sopot,1,6,NA,Sophie PAPPS,7.22,0.135,Qualified
Worlds,Womens,60m,2014,Sopot,1,6,NA,Franciela KRASUCKI,7.25,0.156,Qualified
